Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
Total greenhouse gas emissions (kt of CO2 equivalent),"Bahamas, The",2001.046481,2087.94503,2334.514631,2285.785381,2196.805957,2259.49961,2482.016645,2815.829643,2502.934277,2801.144379
Total greenhouse gas emissions (kt of CO2 equivalent),Bahrain,18782.68798,21196.94787,24540.66822,27655.51593,32238.91256,38404.86883,41607.08671,48106.69701,50342.13908,54151.41004
Total greenhouse gas emissions (kt of CO2 equivalent),Bangladesh,95468.91619,103595.5435,110079.9403,120949.7469,129652.4611,146770.9765,164267.9666,179287.1507,205028.6288,206570.3527
Total greenhouse gas emissions (kt of CO2 equivalent),Barbados,3111.629744,3284.230036,3543.451862,3539.491551,3665.691605,3991.179991,3926.352478,3740.207364,3693.384915,3656.467698
Total greenhouse gas emissions (kt of CO2 equivalent),Belarus,109295.1971,88892.90977,84949.16393,80365.02168,86179.88216,92444.42971,91275.39051,92626.09993,88971.77819,87868.32147
Total greenhouse gas emissions (kt of CO2 equivalent),Belgium,131548.6404,142423.0189,138153.18,131373.8147,129912.637,123934.9372,113152.4764,106749.5809,108193.7955,100063.4878
Total greenhouse gas emissions (kt of CO2 equivalent),Belize,6952.805751,4834.334275,1722.876121,840.116831,819.656522,1009.355262,1305.203154,1248.729511,1441.651512,1573.319685
Total greenhouse gas emissions (kt of CO2 equivalent),Benin,4284.171642,5838.4686,6542.238627,7531.983943,8615.392754,9403.691268,10546.27121,11694.9976,13973.67292,16190.53196
Total greenhouse gas emissions (kt of CO2 equivalent),Bhutan,822.783787,982.937004,1085.230769,1032.881207,1104.700982,1049.754216,1412.645757,1649.68331,1945.742577,1630.8557
Total greenhouse gas emissions (kt of CO2 equivalent),Bolivia,31545.70221,28891.408,31381.30971,33593.95508,38933.7704,42296.10448,48361.77577,52832.12158,56810.3186,55203.08943
Total greenhouse gas emissions (kt of CO2 equivalent),Bosnia and Herzegovina,16764.39862,7324.343731,14993.21084,18520.86499,20874.0118,25968.29171,29183.88612,24689.43736,27759.41257,26053.3501
Total greenhouse gas emissions (kt of CO2 equivalent),Botswana,12088.77213,14572.83308,13835.25978,15862.28235,10725.35266,19528.72697,25747.70982,12708.58574,14735.6943,12374.76398
Total greenhouse gas emissions (kt of CO2 equivalent),Brazil,634997.9434,682100.1397,752889.2603,826208.7209,897371.1788,937153.4104,1019415.034,1127554.01,1085923.233,1064709.126
Total greenhouse gas emissions (kt of CO2 equivalent),Brunei Darussalam,5672.731101,6545.244584,6295.923746,6677.836192,7151.55293,10245.03222,9571.707577,9190.90146,9558.74396,11914.03262
Total greenhouse gas emissions (kt of CO2 equivalent),Bulgaria,74050.99257,71885.37875,58409.91097,57531.37342,61138.03786,62886.92377,62924.95808,54624.01798,56596.72316,46492.85461
Total greenhouse gas emissions (kt of CO2 equivalent),Burkina Faso,12057.36687,13529.87884,14806.62224,15786.33044,20342.01529,21860.06998,24068.02382,26220.72587,29792.21891,32262.81629
Total greenhouse gas emissions (kt of CO2 equivalent),Burundi,1545.279176,1492.285426,1602.522949,1629.591737,1734.091681,2084.470392,2782.874151,3242.800609,4289.286314,4102.678292
Total greenhouse gas emissions (kt of CO2 equivalent),Cabo Verde,340.386969,360.481501,459.61158,540.519295,604.232228,619.444074,726.507319,665.877064,742.946011,791.61071
Total greenhouse gas emissions (kt of CO2 equivalent),Cambodia,17173.63581,18928.54935,20479.81126,19829.20737,22592.75809,25950.61546,29108.37662,29452.73406,36540.98636,42363.17878
Total greenhouse gas emissions (kt of CO2 equivalent),Cameroon,27668.22265,81400.01469,83857.37427,84581.43405,85410.52577,84798.27269,84494.81439,88018.74226,90654.59205,93348.64392
Total greenhouse gas emissions (kt of CO2 equivalent),Canada,549384.5687,600567.0436,628407.1136,661256.3395,693709.7211,691864.5229,690328.581,710549.609,725612.8229,677709.2227
Total greenhouse gas emissions (kt of CO2 equivalent),Central African Republic,17058.44311,21911.01245,21797.00358,18690.99393,22225.66634,23876.1998,22795.30024,20639.43834,20981.80529,21016.37573
Total greenhouse gas emissions (kt of CO2 equivalent),Chile,48556.48231,62856.94279,73894.02818,68527.04914,75236.85374,89031.66989,98241.40312,96490.37495,107321.0615,106722.3342
Total greenhouse gas emissions (kt of CO2 equivalent),China,3744912.203,4328947.13,4375022.621,5053060.571,7263558.578,8805331.438,11089792.42,11940737.42,12014198.87,12942868.34
Total greenhouse gas emissions (kt of CO2 equivalent),Colombia,134226.4687,141028.1486,137507.4662,141502.7824,145701.7786,153089.9338,166014.9048,175835.9665,174466.4908,186999.3355
Total greenhouse gas emissions (kt of CO2 equivalent),Comoros,274.581085,288.106776,321.266618,328.319613,363.474035,350.15393,416.575656,458.308745,568.532195,619.946774
Total greenhouse gas emissions (kt of CO2 equivalent),"Congo, Dem. Rep.",38619.68268,35675.56226,34781.17168,41653.01552,47184.36953,47709.05121,49285.5429,52890.71341,55524.36469,56120.40776
Total greenhouse gas emissions (kt of CO2 equivalent),"Congo, Rep.",9918.44977,9871.657696,12707.87787,10449.28242,14503.60351,14231.43116,17105.56757,15290.14487,16159.3014,19421.77959
Total greenhouse gas emissions (kt of CO2 equivalent),Costa Rica,10013.63475,10003.802,10562.36082,10757.81741,11680.17054,13563.61134,13939.11362,14438.24508,15440.86498,14405.0866
Total greenhouse gas emissions (kt of CO2 equivalent),Cote d'Ivoire,17061.15429,21541.65113,25596.05072,25936.48762,23007.43478,21009.33512,18871.07118,21811.47133,24648.21623,26412.28115
Total greenhouse gas emissions (kt of CO2 equivalent),Croatia,24072.17318,24633.3283,26172.20775,27072.91978,27840.69631,29259.79858,25868.53541,21998.12626,23319.27005,21379.32606
Total greenhouse gas emissions (kt of CO2 equivalent),Cuba,35878.73326,41109.00011,43230.75964,41410.06282,39999.50581,41280.20267,43186.12106,42540.0504,41247.87473,38558.67367
Total greenhouse gas emissions (kt of CO2 equivalent),Czechia,156201.6868,152196.9607,133706.8752,139899.2704,141940.199,139368.3281,132059.1096,120621.652,124327.6965,108308.4176
Total greenhouse gas emissions (kt of CO2 equivalent),Denmark,76496.73383,90637.42391,74221.11192,71563.80008,67219.02344,66418.09065,58248.63644,50328.46514,47663.42765,41135.55451
Total greenhouse gas emissions (kt of CO2 equivalent),Djibouti,972.855364,1069.395491,1234.04644,1257.473482,1307.523222,1358.596909,1376.49825,1329.890501,1349.732889,1394.763044
Total greenhouse gas emissions (kt of CO2 equivalent),Dominica,192.004058,173.618758,178.801653,167.296621,212.491674,229.438029,217.130177,244.944213,231.784244,230.526372
Total greenhouse gas emissions (kt of CO2 equivalent),Dominican Republic,18843.71024,22233.01579,26440.84756,30390.63354,28593.15641,31936.61485,33166.71838,34091.50908,37021.07534,37052.66519
Total greenhouse gas emissions (kt of CO2 equivalent),Ecuador,42457.59219,52296.35324,49640.84628,53839.92062,61061.50366,64893.57416,72121.77209,76784.74275,72729.71647,68056.47202
Total greenhouse gas emissions (kt of CO2 equivalent),"Egypt, Arab Rep.",151742.1132,164886.5238,188735.6202,206143.095,244648.1342,279820.6817,296697.0157,310051.0097,337741.6636,299778.6515
Total greenhouse gas emissions (kt of CO2 equivalent),El Salvador,8494.925478,9324.391689,10509.26372,10998.61752,12313.42481,12813.46089,12098.14912,11777.42223,11280.12151,11063.80963
Total greenhouse gas emissions (kt of CO2 equivalent),Equatorial Guinea,2261.324333,2972.842443,7441.10198,8248.394619,13658.06411,13328.71466,12206.72611,13756.70787,11334.9762,9542.961347
Total greenhouse gas emissions (kt of CO2 equivalent),Eritrea,3974.610767,4839.008862,5446.207491,5219.221887,5386.662965,5431.007274,5719.456724,5848.573954,5994.222366,6242.48957
Total greenhouse gas emissions (kt of CO2 equivalent),Estonia,22155.88877,20682.92619,18629.23901,17892.45283,19903.68604,20663.03742,21637.86275,20799.44491,19899.03282,10198.8019
Total greenhouse gas emissions (kt of CO2 equivalent),Eswatini,2436.874538,2836.298769,2913.63592,2661.21447,2671.164469,2696.94099,2568.66529,2783.518951,2897.502606,3000.932259
Total greenhouse gas emissions (kt of CO2 equivalent),Ethiopia,62225.60217,67529.99301,75094.53771,85285.46161,88879.1606,107780.264,116512.5094,133087.9879,145745.4962,167300.0199
Total greenhouse gas emissions (kt of CO2 equivalent),Fiji,1853.265052,2010.545909,1929.77318,2026.023837,2207.550466,2026.533967,2192.642168,1796.428168,1995.340253,1764.367631
Total greenhouse gas emissions (kt of CO2 equivalent),Finland,68390.99577,77500.6399,71126.37484,77694.15474,69486.61523,70814.87076,67632.7565,58686.81708,55043.07473,47740.49323
Total greenhouse gas emissions (kt of CO2 equivalent),France,487761.4056,510435.8557,507981.4006,504638.6122,509361.4599,486835.1646,456763.7362,427859.1918,436922.6199,376006.2454
Total greenhouse gas emissions (kt of CO2 equivalent),Gabon,13980.54808,17396.39877,17203.2982,15758.12767,16313.94441,14842.91124,15465.15359,15495.27609,14608.84924,14849.25845
Total greenhouse gas emissions (kt of CO2 equivalent),"Gambia, The",4662.164132,3465.17816,2553.513597,1846.437025,1525.00095,1807.114731,1894.617041,2180.820707,2344.612332,2453.329037
Total greenhouse gas emissions (kt of CO2 equivalent),Georgia,27123.61927,15384.0526,13830.49372,11230.13616,12381.25516,12613.03964,14276.08739,16805.07456,17482.17546,17669.44862
Total greenhouse gas emissions (kt of CO2 equivalent),Germany,1048504.185,1064635.361,966630.9135,961780.6029,924531.5991,907720.9431,852005.882,840763.1258,831156.0109,692750.7552
Total greenhouse gas emissions (kt of CO2 equivalent),Ghana,12131.68951,13710.03035,16601.92196,17414.48934,19047.06675,20292.62514,25097.01492,28547.03992,32492.6113,39070.28751
Total greenhouse gas emissions (kt of CO2 equivalent),Greece,97796.47343,105926.8454,112117.9312,118734.5681,124039.5174,121979.9986,105446.8603,90264.07466,86847.33102,69283.30669
Total greenhouse gas emissions (kt of CO2 equivalent),Grenada,1893.780823,1976.131787,2051.859229,2093.514582,2144.34314,2209.350132,2238.779194,2263.595295,2328.911027,2397.288523
Total greenhouse gas emissions (kt of CO2 equivalent),Guatemala,13508.12417,14563.56692,17354.28973,20544.86141,22582.88152,22882.91786,24954.82672,27986.60793,31729.51546,33165.68015
Total greenhouse gas emissions (kt of CO2 equivalent),Guinea,9289.810612,9605.427923,10691.86607,13441.6611,15052.44446,16334.34187,20419.66106,22242.30182,26121.37339,29745.6922
Total greenhouse gas emissions (kt of CO2 equivalent),Guinea-Bissau,1486.360349,1472.152207,1568.981181,1872.641866,1776.705057,1892.247674,2109.817741,2244.292204,2381.442511,2546.519289
Total greenhouse gas emissions (kt of CO2 equivalent),Guyana,2618.701746,3333.103584,3577.951887,3184.882119,3040.823088,3324.441023,3670.424541,4300.879425,4616.558322,5282.035926
Total greenhouse gas emissions (kt of CO2 equivalent),Haiti,5584.07354,6150.08596,6841.864701,7797.484446,7822.671543,8328.645478,9254.390676,9726.1116,10312.34705,10267.23377
Total greenhouse gas emissions (kt of CO2 equivalent),Honduras,11563.53612,12607.23243,12184.85693,13825.0752,16194.44899,18186.86434,20100.2172,21060.37278,20955.29299,21147.29453
Total greenhouse gas emissions (kt of CO2 equivalent),India,1350479.311,1514073.876,1680581.157,1762141.225,1966216.303,2310910.823,2681723.455,3083573.891,3269577.732,3200820.626
Total greenhouse gas emissions (kt of CO2 equivalent),Indonesia,526825.2285,605935.7642,659940.6494,682865.7632,711329.9782,742749.2517,858226.358,873788.9487,914633.3455,976487.6772
Total greenhouse gas emissions (kt of CO2 equivalent),"Iran, Islamic Rep.",377188.0714,433195.7471,487703.9862,542457.7185,652633.9409,732454.9642,765898.4463,812674.1389,878974.7647,844649.4679
Total greenhouse gas emissions (kt of CO2 equivalent),Iraq,110973.0364,122850.7067,122759.6863,138562.7883,130606.9208,141436.0044,177435.4573,213140.503,255110.1837,261289.5283
Total greenhouse gas emissions (kt of CO2 equivalent),Ireland,58097.49299,61679.49081,68118.71876,72148.22791,73545.99123,71564.12425,61002.32595,61932.73433,65833.87287,59497.73471
Total greenhouse gas emissions (kt of CO2 equivalent),Israel,52045.02255,62352.15501,68956.11392,75657.85739,76206.03959,84298.00767,89014.75001,85194.99147,88636.37571,83664.06603
Total greenhouse gas emissions (kt of CO2 equivalent),Jamaica,9995.319789,10705.46543,11671.43032,11969.55406,12260.05742,10990.33486,8929.297177,8670.429722,8764.789197,7432.636336
Total greenhouse gas emissions (kt of CO2 equivalent),Japan,1203795.866,1291666.873,1263286.111,1286295.876,1289536.108,1234744.142,1292827.395,1305365.322,1241560.823,1094556.256
Total greenhouse gas emissions (kt of CO2 equivalent),Jordan,22533.00836,22482.67588,20266.1661,21730.26889,25323.17278,26811.47676,28261.57121,34457.96826,36766.92085,33146.35261
Total greenhouse gas emissions (kt of CO2 equivalent),Kazakhstan,273388.7531,198138.0345,162373.7682,190192.2798,234299.3053,314334.1282,322212.4585,286216.0566,299615.3021,294805.9457
Total greenhouse gas emissions (kt of CO2 equivalent),Kenya,33571.35703,33553.59336,36433.91616,35592.6765,39565.8602,57644.9151,61508.38007,64589.02561,69774.597,80188.01667
Total greenhouse gas emissions (kt of CO2 equivalent),Kiribati,45.819625,52.40919,50.677398,64.851414,84.033984,87.767433,79.586655,87.340126,102.097438,88.571671
Total greenhouse gas emissions (kt of CO2 equivalent),"Korea, Dem. People's Rep.",123097.6299,90944.85084,84186.87664,87882.89269,95342.67678,92865.68162,59412.86463,53733.95686,77903.97402,76079.90868
Total greenhouse gas emissions (kt of CO2 equivalent),"Korea, Rep.",365954.432,455229.9934,453766.5955,519073.4658,548063.1407,579146.0193,669063.4132,662402.3129,707446.3487,659329.6994
Total greenhouse gas emissions (kt of CO2 equivalent),Kuwait,46788.89807,54229.24657,64338.12619,74993.41761,94641.08153,103274.8605,113298.5243,121302.6476,130517.5087,135896.7903
Total greenhouse gas emissions (kt of CO2 equivalent),Kyrgyz Republic,17747.18631,10813.96103,9538.676977,9846.753928,10323.14048,12741.87634,13529.72303,16274.42821,15986.0521,16093.54198
Total greenhouse gas emissions (kt of CO2 equivalent),Latvia,18098.68599,13383.20212,11671.68729,11441.08179,11874.26318,12493.79279,12213.05601,11884.57289,11701.90069,11436.59559
Total greenhouse gas emissions (kt of CO2 equivalent),Lebanon,12245.55118,16526.02578,20082.28857,20216.84045,20887.88218,22677.60272,25928.66787,30738.15285,35779.79728,28947.43775
Total greenhouse gas emissions (kt of CO2 equivalent),Lesotho,3234.879384,3210.990912,3696.363297,3485.839832,3733.837092,3759.410411,4692.885375,4047.125728,4227.946916,4013.753971
Total greenhouse gas emissions (kt of CO2 equivalent),Liberia,748.977894,757.086367,791.274679,843.235523,1089.925333,1097.349398,1539.893062,2026.934224,2130.949002,2155.394887
Total greenhouse gas emissions (kt of CO2 equivalent),Libya,83598.84941,108690.7137,98658.63116,98302.78124,119486.3473,122299.6365,70056.8579,92388.51843,100218.2488,75370.28088
Total greenhouse gas emissions (kt of CO2 equivalent),Liechtenstein,218.206555,210.956745,233.035414,229.212405,240.223466,232.916596,190.382326,175.416468,170.153986,157.560064
Total greenhouse gas emissions (kt of CO2 equivalent),Lithuania,26957.78527,24144.07507,22098.43662,21211.75369,23504.22752,24087.47404,20784.51278,19359.6328,19565.53059,19784.73208
Total greenhouse gas emissions (kt of CO2 equivalent),Luxembourg,12586.23548,9679.113933,8898.207984,10793.08364,12901.12298,12032.55031,11901.70845,10634.67368,10011.86329,8813.977022
Total greenhouse gas emissions (kt of CO2 equivalent),Madagascar,25708.34762,25981.92825,26449.44391,22467.66973,27368.04191,26781.68571,27517.39399,27686.75302,28081.75803,30566.42841
Total greenhouse gas emissions (kt of CO2 equivalent),Malawi,3588.173878,3587.959269,3824.093079,4144.422299,4468.106724,5689.260358,6677.355617,7791.483427,9125.424201,11982.42756
Total greenhouse gas emissions (kt of CO2 equivalent),Malaysia,99807.16574,128608.7857,147176.7506,172668.6269,209389.8407,249865.2192,251672.3365,290459.5458,281063.6498,302088.6631
Total greenhouse gas emissions (kt of CO2 equivalent),Mali,15659.16918,17344.32885,20282.78952,20940.92774,24850.14334,27635.77461,29835.46584,33161.45031,38485.66359,43491.51296
Total greenhouse gas emissions (kt of CO2 equivalent),Malta,3054.890858,2572.768472,2681.019697,2620.46509,2984.627492,3093.518509,2991.674811,2837.453533,2027.25402,2082.169141
Total greenhouse gas emissions (kt of CO2 equivalent),Marshall Islands,112.417622,123.068907,126.860304,148.528668,152.035515,167.759247,177.68875,184.429795,196.215351,164.923162
Total greenhouse gas emissions (kt of CO2 equivalent),Mauritania,6832.247819,7354.571366,8522.300297,9147.365624,9496.146201,9536.004904,11005.93299,11945.84326,13221.27666,14056.36818
Total greenhouse gas emissions (kt of CO2 equivalent),Mauritius,2648.368964,2955.14509,3867.699701,4434.320269,4838.941597,5517.224058,5835.308465,6329.03096,6725.636996,6435.739403
Total greenhouse gas emissions (kt of CO2 equivalent),Mexico,449487.9691,475266.3112,512595.1563,550227.3621,607693.6384,643156.3892,671736.1767,659021.4495,679728.327,592321.1717
Total greenhouse gas emissions (kt of CO2 equivalent),"Micronesia, Fed. Sts.",157.967122,254.512694,263.490228,223.040538,187.483287,183.545965,192.390681,217.371273,227.10162,194.111345
Total greenhouse gas emissions (kt of CO2 equivalent),Moldova,23689.6393,16771.83028,12273.69759,11788.25924,12689.58047,12441.25464,12828.1974,12325.28536,12762.92852,12985.65753
Total greenhouse gas emissions (kt of CO2 equivalent),Mongolia,29492.91207,27874.01297,29765.94258,26171.49473,28532.65595,34394.98887,36384.07279,44820.09828,51464.86134,53921.45499
Total greenhouse gas emissions (kt of CO2 equivalent),Montenegro,3742.935949,4100.603408,3764.3227,4278.851714,4217.36062,4497.111529,3993.112172,3516.706455,3525.503759,3764.437423
Total greenhouse gas emissions (kt of CO2 equivalent),Morocco,38902.55454,43381.71258,48366.9376,54512.98702,62104.13385,67297.48021,75694.68352,79184.64053,84413.58902,88027.79761
Total greenhouse gas emissions (kt of CO2 equivalent),Mozambique,20032.87047,20428.04431,20815.19839,23812.0766,26243.52771,27204.40535,27096.05227,31336.78684,32115.43737,33749.36732
Total greenhouse gas emissions (kt of CO2 equivalent),Namibia,9176.422526,9357.27887,9865.906991,9356.780006,11087.85112,10319.95991,17621.69514,11600.85457,12376.72675,13560.37867
Total greenhouse gas emissions (kt of CO2 equivalent),Nauru,118.736655,106.489681,97.935163,82.648465,67.245677,47.170792,45.066598,55.753786,61.494515,47.328063
Total greenhouse gas emissions (kt of CO2 equivalent),Nepal,21963.88797,24223.31452,26168.75023,26439.36423,27869.13564,29003.61957,32970.22112,36095.41084,43035.48884,45868.55644
Total greenhouse gas emissions (kt of CO2 equivalent),New Zealand,70819.77054,73931.30603,77035.32441,81063.1493,84374.95409,83368.12502,80100.90182,82810.63762,82414.82108,80158.02583
Total greenhouse gas emissions (kt of CO2 equivalent),Nicaragua,9712.34147,9417.948132,11705.80315,12897.86076,13828.50507,14195.11273,15755.22817,17267.95178,18401.06355,18448.51145
Total greenhouse gas emissions (kt of CO2 equivalent),Niger,14436.7844,16296.54901,18528.33762,20639.54081,23298.22364,26650.30783,29122.97411,34640.59799,38958.44011,44795.82741
Total greenhouse gas emissions (kt of CO2 equivalent),Nigeria,263368.0453,281096.2074,245184.9784,246031.2029,273892.8306,256598.9361,280956.332,306117.3401,311186.0027,322336.5011
Total greenhouse gas emissions (kt of CO2 equivalent),North Macedonia,12450.53574,13162.02023,11823.1016,10910.36416,11773.93046,12057.00874,12133.21352,10416.16744,10526.33717,9768.859944
Total greenhouse gas emissions (kt of CO2 equivalent),Pakistan,183167.4197,207742.9642,231241.8531,243433.5506,279294.6422,317305.6294,332269.0769,361321.5768,426734.3012,436608.9225
Total greenhouse gas emissions (kt of CO2 equivalent),Palau,211.714548,213.71659,220.438196,234.793183,245.464862,232.9845,234.604488,242.925179,243.734798,195.78888
Total greenhouse gas emissions (kt of CO2 equivalent),Panama,9192.178262,9674.96258,9836.191956,10579.53359,12521.73034,13162.32269,16486.52187,17600.29831,17283.27162,17231.02452
Total greenhouse gas emissions (kt of CO2 equivalent),Papua New Guinea,9430.910541,11328.65594,11223.29889,12004.09038,12139.63959,12566.26492,13933.88953,17504.08296,19157.78881,18397.91713
Total greenhouse gas emissions (kt of CO2 equivalent),Paraguay,28861.07455,29959.50835,31583.58583,32023.36552,33479.24037,35515.65358,41155.80824,46010.29691,49749.92728,50784.02825
Total greenhouse gas emissions (kt of CO2 equivalent),Philippines,102700.3707,130171.1309,137319.0798,139473.1837,147127.4745,150006.0184,160090.2289,183726.7873,221322.0186,224971.7625
Total greenhouse gas emissions (kt of CO2 equivalent),Poland,410789.6678,420193.5214,370345.7137,347723.1045,364880.8723,373575.7752,373328.3673,347384.6849,374716.3482,338383.8449
Total greenhouse gas emissions (kt of CO2 equivalent),Portugal,60886.29031,64867.62361,79157.965,82670.82672,82959.22104,74282.36094,67196.13929,63414.4256,70957.67981,55640.70734
Total greenhouse gas emissions (kt of CO2 equivalent),Qatar,21937.10464,27852.53805,39505.97849,44067.82676,53556.7409,73843.49913,97690.00704,113517.1842,119437.9943,119605.3672
Total greenhouse gas emissions (kt of CO2 equivalent),Romania,154824.6312,159986.8761,116726.8256,122830.7988,125492.7396,124732.2029,110692.839,98499.64262,102254.6223,95744.39542
Total greenhouse gas emissions (kt of CO2 equivalent),Russian Federation,2558244.367,2190940.411,2084960.956,2152108.54,2243990.685,2291990.939,2340370.262,2264924.245,2282284.734,2331479.378
Total greenhouse gas emissions (kt of CO2 equivalent),Rwanda,2573.425694,2771.571863,3362.279073,3578.623254,3859.291313,4480.395281,4781.368045,5125.387999,5903.81658,6329.924675
Total greenhouse gas emissions (kt of CO2 equivalent),Samoa,357.079864,408.929538,428.562129,472.045778,488.325257,470.597601,533.160095,558.68889,594.713131,538.887695
Total greenhouse gas emissions (kt of CO2 equivalent),Sao Tome and Principe,59.694767,63.536398,68.30671,78.79703,101.648705,112.176545,126.204118,149.789958,169.384403,179.72515
Total greenhouse gas emissions (kt of CO2 equivalent),Saudi Arabia,287759.3269,301644.8413,328280.827,366455.9791,425133.8514,507309.0052,596451.9677,692677.301,728091.5477,712585.402
Total greenhouse gas emissions (kt of CO2 equivalent),Senegal,13393.0132,15025.80591,16695.3544,16989.83833,19073.17683,20527.29477,23084.72027,24473.3203,27718.1194,30293.27863
Total greenhouse gas emissions (kt of CO2 equivalent),Serbia,60905.6984,71349.77076,58579.4546,66323.13424,67014.41899,65919.78603,67306.68346,55198.86327,63354.39643,62883.94612
Total greenhouse gas emissions (kt of CO2 equivalent),Seychelles,257.841481,314.868554,395.920695,443.796942,478.257491,523.925096,526.396387,591.043548,723.153956,770.061638
Total greenhouse gas emissions (kt of CO2 equivalent),Sierra Leone,3185.058328,2700.857771,2373.394791,3156.663069,4127.412275,4211.801094,5062.796395,6329.480559,6323.730128,5952.4739
Total greenhouse gas emissions (kt of CO2 equivalent),Singapore,43126.92566,49352.39393,50003.35327,54037.20577,49627.4788,51630.4847,58993.01375,60657.51579,65736.4066,64266.74268
Total greenhouse gas emissions (kt of CO2 equivalent),Slovak Republic,53437.3657,51347.08144,48612.08315,46152.64336,46543.51953,45180.71764,41566.34562,37218.38948,40432.84011,35984.33182
Total greenhouse gas emissions (kt of CO2 equivalent),Slovenia,16744.97061,18429.96088,17943.1,18790.80783,19212.07351,20489.17942,18746.41536,16006.08164,17098.37017,15286.67677
Total greenhouse gas emissions (kt of CO2 equivalent),Solomon Islands,427.605358,475.107749,521.242958,572.965541,636.992511,698.003615,765.99899,800.932306,825.34125,835.240357
Total greenhouse gas emissions (kt of CO2 equivalent),Somalia,21678.75783,24726.49484,25026.20428,26136.39944,27109.69021,24760.52607,25151.40521,25700.44983,25630.36542,26272.10205
Total greenhouse gas emissions (kt of CO2 equivalent),South Africa,330556.8806,360132.9231,363897.901,417929.0011,469918.5038,527035.5,512737.4833,554961.0999,544358.7633,501520.8805
Total greenhouse gas emissions (kt of CO2 equivalent),South Sudan,32828.04682,38939.52993,48537.75892,54718.08042,62994.05954,67108.45694,65005.48492,51607.61045,51336.68517,56051.36036
Total greenhouse gas emissions (kt of CO2 equivalent),Spain,276751.248,296710.6861,352155.3098,384461.0199,424168.8721,401199.1964,349834.6367,315739.0923,333287.681,270310.9717
Total greenhouse gas emissions (kt of CO2 equivalent),Sri Lanka,25636.94188,26424.22198,21364.16622,21248.59054,24497.85696,24157.25163,27164.46824,28830.96863,33847.33216,35117.25456
Total greenhouse gas emissions (kt of CO2 equivalent),St. Kitts and Nevis,196.879477,221.991485,253.781266,287.16768,293.861209,318.734793,337.712666,323.314916,342.030185,334.464112
Total greenhouse gas emissions (kt of CO2 equivalent),St. Lucia,1000.894535,901.52056,700.682866,628.297474,679.042333,726.119331,799.461243,824.362982,865.537994,850.806942
Total greenhouse gas emissions (kt of CO2 equivalent),St. Vincent and the Grenadines,185.342759,213.584637,252.177525,275.865591,309.486081,311.346342,308.083083,347.927383,306.588712,302.420156
Total greenhouse gas emissions (kt of CO2 equivalent),Sudan,55277.51575,63739.83882,72993.42155,79014.71927,88417.05111,93597.10374,96376.62411,99730.64924,105919.8738,107114.2127
Total greenhouse gas emissions (kt of CO2 equivalent),Suriname,3227.114115,3355.81709,3362.158346,2181.796348,2785.835899,2808.229398,3532.494146,4267.688094,4135.920431,4312.425111
Total greenhouse gas emissions (kt of CO2 equivalent),Sweden,72135.5893,79147.51037,72408.78809,68557.21408,64256.01605,59447.76938,57207.56826,51285.95807,50356.36951,45458.82211
Total greenhouse gas emissions (kt of CO2 equivalent),Switzerland,52627.84071,53300.80025,53536.69996,52761.11121,55215.00962,54631.74468,50649.0865,49167.61866,47920.92857,43987.63547
